Name,Latitude,Longitude
St. Peter's Specialized Hospital,9.075195713,38.75277822
Monarch Parkview,9.027729064,38.74891583
Hilton Addis Ababa,9.020269451,38.76908605
Embassy of Italy,9.046716475,38.78865544
Century Mall,9.020778066,38.81363218
Embassy of Kenya,9.035018992,38.77878492
Unity Park,9.023914508,38.75698392
Capital Hotel and Spa,9.014674639,38.77938573
Sheraton Addis,9.021945059,38.75967548
Embassy of the Netherlands,9.02129284,38.71254023
African Union Commission,9.001644184,38.74399124
National Museum of Ethiopia,9.039309962,38.76157409
Addis Ababa Golf Club,9.005313102,38.72195077
European Union Peacock Park,9.003682476,38.77577245
Sarem International Hotel and Spa,9.052703905,38.74347607
Tourist Hotel,9.033798614,38.7622575
Entoto International Park,9.082229253,38.74561406
Friendship Park,9.025320145,38.75909985
Five Loaves Bistro and Bakery,9.023533469,38.77594064
Pain d'épice - French Bakery & Restaurant,9.028633593,38.77890093
KOBA Patisserie & Bakery,9.035162946,38.7714673
Africa Hall and ECA Conference Center,9.014957302,38.76176411
St Paulos Hospital,9.047932422,38.72782713
Soramba Hotel and Wellness Center,9.041403301,38.75058851
Lideta Catholic Cathedral School,9.031334441,38.7492126
